DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5947,,5947,d262aae8-41f7-48ed-9f35-56bbb677573d,X'f5f67d07dc21ba408b08cb987002ae27',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,d262aae8-41f7-48ed-9f35-56bbb677573d,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5948,,5948,82112ba0-7e4c-4a44-89d9-d46c9612bf91,X'd8a21f4f17f45d439e57f3c20ebd7cf8',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,82112ba0-7e4c-4a44-89d9-d46c9612bf91,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=c3c927a6-cc1d-47c0-966b-be8f9b63d991,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=c3c927a6-cc1d-47c0-966b-be8f9b63d991,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5949,,5949,c3c927a6-cc1d-47c0-966b-be8f9b63d991,X'411082164320934cb4126c1c2d2eb0ee',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,c3c927a6-cc1d-47c0-966b-be8f9b63d991,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=54afcfb9-637a-4251-9f47-4d50e7021211,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=54afcfb9-637a-4251-9f47-4d50e7021211,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5950,,5950,54afcfb9-637a-4251-9f47-4d50e7021211,X'a76a802f4f2dcf41a7285a989734c1c4',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,54afcfb9-637a-4251-9f47-4d50e7021211,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f4728883-84dd-483c-9897-274f2ebcf11e,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=f4728883-84dd-483c-9897-274f2ebcf11e,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5951,,5951,f4728883-84dd-483c-9897-274f2ebcf11e,X'25f663877dd12b4ea37d32bfb37c3495',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,f4728883-84dd-483c-9897-274f2ebcf11e,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5952,,5952,ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,X'1dd33fdd9fdc8546b039b6c1654466d1',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5953,,5953,Windows2003Update,X'508931d8ec260d48995f82827653a061',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Windows2003Update,,TRUE,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5954,,5954,ActiveDirectoryUpdate,X'2c96c4f48581384eb2b92b202dfbe854',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ActiveDirectoryUpdate,,TRUE,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Password Settings Container,CN=System,DC=HAKAN,DC=LOCAL",msDS-PasswordSettingsContainer,"CN=Password Settings Container,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5955,,5955,Password Settings Container,X'43a14aa8ff7c604d997a61f1525048c2',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=ms-DS-Password-Settings-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Password Settings Container,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PSPs,CN=System,DC=HAKAN,DC=LOCAL",msImaging-PSPs,"CN=PSPs,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5956,,5956,PSPs,X'cf9c3a4117d94c499918fae224378ada',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-Imaging-PSPs,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,PSPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=TPM Devices,DC=HAKAN,DC=LOCAL",msTPM-InformationObjectsContainer,"CN=TPM Devices,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5964,,5964,TPM Devices,X'3ac5ac3217fc26428533cf2a42a38907',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-TPM-Information-Objects-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,TPM Devices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrator,CN=Users,DC=HAKAN,DC=LOCAL",user,"CN=Administrator,CN=Users,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018181611.0Z,,8196,,16477,Administrator,X'a4a7c59e8156ce479d21ba50ded69c94',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f7f4010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018181611.0Z;20221018181611.0Z;20221018175407.0Z;16010101181216.0Z,,,,,,,,,,,,Administrator,Built-in account for administering the computer/domain,,,,,,,,,,,,,,,,,,,,,,"CN=Group Policy Creator Owners,CN=Users,DC=HAKAN,DC=LOCAL;CN=Domain Admins,CN=Users,DC=HAKAN,DC=LOCAL;CN=Enterprise Admins,CN=Users,DC=HAKAN,DC=LOCAL;CN=Schema Admins,CN=Users,DC=HAKAN,DC=LOCAL;CN=Administrators,CN=Builtin,DC=HAKAN,DC=LOCAL",512,0,0,0,0,0,133109376336898257,X'ffffffffffffffffffffffffffffffffffffffffff',133103932833657484,513,1,0,41,Administrator,805306368,133105894253752648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guest,CN=Users,DC=HAKAN,DC=LOCAL",user,"CN=Guest,CN=Users,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8197,,8197,Guest,X'665ad32232f7c74a985716c8e6743c4f',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f7f5010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Guest,Built-in account for guest access to the computer/domain,,,,,,,,,,,,,,,,,,,,,,"CN=Guests,CN=Builtin,DC=HAKAN,DC=LOCAL",66082,0,0,0,0,0,0,,0,514,,9223372036854775807,0,Guest,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinRMRemoteWMIUsers__,CN=Users,DC=HAKAN,DC=LOCAL",group,"CN=WinRMRemoteWMIUsers__,CN=Users,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8198,,8198,WinRMRemoteWMIUsers__,X'79720930d94a7042b6c839738b08be37',,,,,,,,,,,,,X'0105000000000005150000005c675768c2a54f4a5ee931f7e8030000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,WinRMRemoteWMIUsers__,Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WinRMRemoteWMIUsers__,536870912,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Builtin,DC=HAKAN,DC=LOCAL",builtinDomain,"CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8199,,8199,Builtin,X'd32219ca9012ef4095060c1003bbc794',130216564773925588,-9223372036854775808,-6000000000,-6000000000,0,-37108517437440,0,0,0,1000,1,0,X'010100000000000520000000',1,1,123,,,,,-1946157056,,"CN=Builtin-Domain,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Builtin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrators,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Administrators,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018181611.0Z,,8200,,16488,Administrators,X'fdee3fb0e4ceb145bf26503697908e33',,,,,,,,,,,,,X'01020000000000052000000020020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018181611.0Z;20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Administrators,Administrators have complete and unrestricted access to the computer/domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Administrators,536870912,,-2147483643,"CN=Domain Admins,CN=Users,DC=HAKAN,DC=LOCAL;CN=Enterprise Admins,CN=Users,DC=HAKAN,DC=LOCAL;CN=Administrator,CN=Users,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Users,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175407.0Z,,8203,,12381,Users,X'32f424982940a841a28450c4ba3b62e3',,,,,,,,,,,,,X'01020000000000052000000021020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Users,Users are prevented from making accidental or intentional system-wide changes and can run most applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Users,536870912,,-2147483643,"CN=Domain Users,CN=Users,DC=HAKAN,DC=LOCAL;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",foreignSecurityPrincipal,"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8204,,8204,S-1-5-4,X'72b40ed5c8817e44b544c7f949a01fbc',,,,,,,,,,,,,X'010100000000000504000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-4,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Users,CN=Builtin,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",foreignSecurityPrincipal,"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8205,,8205,S-1-5-11,X'007e3a7464b9b24ebb3d2d9f822d6c40',,,,,,,,,,,,,X'01010000000000050b000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-11,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=HAKAN,DC=LOCAL;CN=Users,CN=Builtin,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guests,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Guests,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175407.0Z,,8209,,12383,Guests,X'c02b9d6a0faea449a0885d0dfa6e29bb',,,,,,,,,,,,,X'01020000000000052000000022020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Guests,"Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guests,536870912,,-2147483643,"CN=Domain Guests,CN=Users,DC=HAKAN,DC=LOCAL;CN=Guest,CN=Users,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Print Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Print Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018181611.0Z,,8212,,16485,Print Operators,X'990e7e614075ce4f91b277da01920dfc',,,,,,,,,,,,,X'01020000000000052000000026020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018181611.0Z;20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Print Operators,Members can administer printers installed on domain controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Print Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Backup Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Backup Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018181611.0Z,,8213,,16483,Backup Operators,X'90b2c2c25db4ac44ae7d509c120e21a2',,,,,,,,,,,,,X'01020000000000052000000027020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018181611.0Z;20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Backup Operators,Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Backup Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Replicator,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Replicator,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018181611.0Z,,8214,,16480,Replicator,X'0810051bbe671e42b7d7e846bc2cabf9',,,,,,,,,,,,,X'01020000000000052000000028020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018181611.0Z;20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Replicator,Supports file replication in a domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Replicator,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Remote Desktop Users,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Remote Desktop Users,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8215,,8215,Remote Desktop Users,X'de20bc3820622644a7ac2a38e7a75f0e',,,,,,,,,,,,,X'0102000000000005200000002b020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Remote Desktop Users,Members in this group are granted the right to logon remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remote Desktop Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Network Configuration Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Network Configuration Operators,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8216,,8216,Network Configuration Operators,X'323d656756700d4c835f20c4571b02c3',,,,,,,,,,,,,X'0102000000000005200000002c020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Network Configuration Operators,Members in this group can have some administrative privileges to manage configuration of networking features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Configuration Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Monitor Users,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Performance Monitor Users,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8217,,8217,Performance Monitor Users,X'71aacde68a24a647a520b0a93852f1c3',,,,,,,,,,,,,X'0102000000000005200000002e020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Performance Monitor Users,Members of this group can access performance counter data locally and remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performance Monitor Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Log Users,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Performance Log Users,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8218,,8218,Performance Log Users,X'97a283f9f9db8f48a439151cfad776ee',,,,,,,,,,,,,X'0102000000000005200000002f020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Performance Log Users,"Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performance Log Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Distributed COM Users,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=Distributed COM Users,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8219,,8219,Distributed COM Users,X'b7140e8ac0d9144f8a4df03e21d6acfb',,,,,,,,,,,,,X'01020000000000052000000032020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,Distributed COM Users,"Members are allowed to launch, activate and use Distributed COM objects on this machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributed COM Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IIS_IUSRS,CN=Builtin,DC=HAKAN,DC=LOCAL",group,"CN=IIS_IUSRS,CN=Builtin,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8220,,8223,IIS_IUSRS,X'827d98268b9b784f949087aa3b101b6b',,,,,,,,,,,,,X'01020000000000052000000038020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,IIS_IUSRS,Built-in group used by Internet Information Services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIS_IUSRS,536870912,,-2147483643,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",foreignSecurityPrincipal,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,8221,,8221,S-1-5-17,X'c95559fbed953440a12e701bba1a6979',,,,,,,,,,,,,X'010100000000000511000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-17,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=IIS_IUSRS,CN=Builtin,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
